Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,15.9312738517591,13.4906903502004,13.0560066593953,13.9318915267832,15.7758000520963,18.4636365247787,23.9270902018495,26.4726393718905,31.9503607049257,38.495570797453,46.1081071902713,54.7065904320115,64.1096890521011,73.9496378098934,83.3361358888763,90.5723616506582,93.847431623032,92.2482192624046,86.0335997385781,76.5392521678776,65.8669030203362
2,13.126222133692,11.0068236078117,10.3522121863537,10.6051756252343,11.4905943712794,12.8722444284355,20.0756357658626,16.8932734375293,19.4165262629906,22.1356467716971,24.8858339839888,27.5335805928961,30.1320034612363,33.0154814813859,36.4529473463531,40.0257596057705,42.8556539646933,44.3533606861088,44.4203467831015,68.5725803910987,56.6498299405501
3,12.1577005516013,10.24971793714,9.48775365294889,9.4691712193995,10.0015041929869,10.9883179607786,13.5186222962038,14.2225339579804,15.946431694037,17.6670348802289,19.2389968786437,20.6291882768709,22.0882470263629,24.1776283992926,27.2955615468839,30.9962852231902,34.2717465252329,36.3710780255398,37.0237019132381,61.8578674134601,48.9955276235734
4,8.16935369528412,8.34068405141137,7.77162668572297,7.51086407189055,7.69826230224156,8.24518177778002,9.17542276430416,12.0090872146007,13.5425437661844,15.2053396073054,16.8958303770001,18.582307478529,20.2483978908497,22.230954260577,25.1824286644286,28.6276573646168,31.5210149787654,33.0663090151571,32.9519111522468,33.4943527327415,25.6653331672829
5,4.49924784332253,6.4187713424612,5.44540978766393,4.9597728151049,4.76724065498749,4.78205066156945,5.03116422682632,8.72518638184886,9.868310335422,11.2584789368371,12.8884867698915,14.7940239126209,18.5947601427668,20.4324743806995,23.2353417176317,26.4530114734228,29.0081602280669,30.0681392591233,29.2920310068361,9.3722822961328,9.18436189651277
6,2.72025518546648,3.67669769202571,4.81210603113179,4.20332667187602,3.84415061931158,3.6483349478571,3.58446811333972,3.65801689942077,3.9098959269759,4.42855959107021,5.3741964049216,7.00936505905669,15.5460233267162,19.2038309364909,17.5625048542872,19.3982713827573,20.814134240813,21.1307492607092,20.1001543141166,4.74364273041803,3.6639383197249
7,1.12698180789277,3.14408339252882,2.60732720951103,2.30635221810625,2.15142035992506,2.09939550005207,2.13904982858799,2.28625036698233,2.58676221773076,3.12983935666818,4.07256956992781,5.66999335386292,8.25276204273187,16.9350562580238,13.0197144422151,13.499845893666,13.7569748411907,13.2378613804382,11.8466489500217,3.02069459583252,2.15496072490831
8,0.704762813830468,0.594876311701911,0.535798341712623,0.519371041057407,0.55501092206,0.63814832135713,0.775724037327152,0.993013417244609,1.34018086176923,1.90719988044975,2.84833418705916,4.41182989711089,6.91931288547763,10.7095297839672,10.3492781472593,10.6432306265644,10.6859909149924,10.145799970022,8.93617542645233,1.27982536801528,0.819302207228368
9,0.628097629856587,0.527517599270411,0.516572392893106,0.493772020356099,0.529450460593463,0.610385717713189,0.743382617459104,0.960045563556491,1.3092165182434,1.87972357886948,2.82503219055868,4.39284824169992,6.09981072658034,9.16611229740489,8.98954390760031,9.27293623572406,7.89896356010435,7.36061427854467,6.32315491534795,1.22192365799167,0.760199459379064
10,0.552278244648891,0.460911645953191,0.455223309218926,0.436312718687635,0.511423715386471,0.588719724495654,0.725508718628034,0.945551169403492,1.29586899588043,1.8663703882086,2.81170491166776,4.37958150811106,5.02712194985143,7.39874314972265,6.4956257878441,6.64873425947164,6.4316762023294,6.06024791159233,4.79562927264789,1.16508947550999,0.702099354537908
