Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,0.86855504,0.81917608,0.79381488,0.78626092,0.79087797,0.80270847,0.81920904,0.83922588,0.86206294,0.88710739,0.91374652,0.9413813,0.96947256,0.99762297,1.02573757,1.05433627,1.08507463,1.12129165,1.16760877,1.22699247,1.29614256
2,0.76399519,0.72605337,0.70873071,0.70695903,0.71496399,0.72814769,0.73615466,0.76471226,0.78835183,0.81668641,0.84561321,0.88658018,0.93845314,1.00214527,1.07310066,1.13993027,1.18885876,1.20957733,1.19651191,1.14864496,1.07213619
3,0.70271748,0.67203901,0.6562238,0.65223615,0.65576428,0.66265773,0.6431894,0.68006553,0.68926161,0.69810029,0.69970148,0.70361498,0.70432085,0.70052285,0.69173188,0.67885568,0.66344743,0.64689126,0.63057611,1.1267387,1.03711001
4,0.6316455,0.6128911,0.59456035,0.58325969,0.58008246,0.58202853,0.56343914,0.55887669,0.54786419,0.53351148,0.51245195,0.49551906,0.4835492,0.47884795,0.4808478,0.48728636,0.49585484,0.50496343,0.51387476,1.11499872,1.01574748
5,0.55580074,0.56955368,0.52379966,0.50490115,0.4937688,0.48767809,0.48708665,0.49543303,0.48979902,0.48294075,0.47133483,0.4639383,0.46812072,0.4677378,0.47332466,0.48227626,0.49202844,0.50058707,0.50648419,1.05463865,0.88836462
6,0.48479345,0.47079099,0.44957625,0.43347608,0.42303431,0.41542083,0.4120471,0.4097951,0.40267252,0.39574749,0.38696342,0.38265914,0.44177414,0.46060746,0.46970907,0.48124718,0.49250485,0.50118532,0.50518361,0.33939094,0.34052154
7,0.42911733,0.39872437,0.37611204,0.35737994,0.34396235,0.33228426,0.32084268,0.30966357,0.29941114,0.29112058,0.28620773,0.28678857,0.3675343,0.43999183,0.50870378,0.53338623,0.54961958,0.55527021,0.54976419,0.26029093,0.24502792
8,0.31614677,0.31667239,0.29909698,0.28763309,0.28066397,0.27448581,0.2676221,0.26032251,0.25352525,0.24858083,0.24616436,0.25116213,0.26465941,0.37632223,0.31210551,0.33336551,0.36129114,0.3787245,0.37992623,0.23281489,0.21709966
9,0.2335317,0.2201284,0.21404162,0.21190474,0.21347652,0.21452302,0.21359081,0.21131036,0.20904686,0.20859346,0.20847975,0.21934671,0.24019649,0.27412718,0.30842188,0.33853906,0.3590485,0.36714395,0.35852142,0.19757856,0.1885907
10,0.21235666,0.2014717,0.19889746,0.19215087,0.19452149,0.19445954,0.19016975,0.18724514,0.1862691,0.18838948,0.19134647,0.20607263,0.22974487,0.28166503,0.25959757,0.29023193,0.36461854,0.36618836,0.35034089,0.17281811,0.16225172
