Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,17.2170436778532,21.8917366919257,27.4770636029136,34.0475725159853,41.8753370112434,51.3437223208038,62.8724771966682,76.8443968603219,93.5404886375298,113.087537313727,135.417838679518,171.785161950026,198.651819955083,226.664997831541,255.054628620654,283.070479118679,310.063707322714,335.536199360898,359.155946667632,380.743834927699,400.246655669353
2,13.5316080847802,17.0802838171279,21.3953262549459,26.5212764514835,32.6769787256914,40.17389801873,49.3514713106321,60.512726792346,73.8642939611888,89.4679961132798,114.425353327505,151.372482357216,176.389928443725,202.463702645987,228.839795279578,234.734916830001,254.529023803641,272.753039993604,289.341119549436,304.328752793917,317.80467202935
3,12.4974718777472,15.6851844423079,19.5400709576433,24.0867294172846,29.5164759253278,36.099869382003,44.1256930852175,53.8470689270304,65.434619724709,78.9418911657156,72.7095971588345,111.228969854237,129.411456445327,148.36617856995,167.584813783231,186.579268397781,204.934425483594,187.124812684528,191.16071289498,194.167439716857,196.483002369239
4,10.5984825734542,13.4961715000754,16.2936070495785,19.4568471665337,23.0736251981121,27.2684216057246,32.1444447713197,37.745848523648,44.0468751459847,50.9711332777568,58.4245281452427,66.3108238064333,74.5162377830439,82.8846964806452,91.2159613848185,99.2937275652561,106.924501215315,153.183556652075,153.78126119088,153.871264378518,153.699847924253
5,9.49001071794052,11.5150907828637,14.2447702021651,18.6028521157678,21.898587607652,25.6685054003884,29.9739206896006,34.8052604638537,40.0767513959311,45.6550774188126,51.4012463250289,57.1885832701515,62.8850367610001,68.3310974076831,73.3488257530894,77.780755978984,81.5297118146034,84.5757997986193,86.9669824775365,88.7947204485379,90.1676565410165
6,8.10747408390786,10.2182796974358,12.788098978876,16.7456795915545,19.2110724169519,21.8080308934426,24.4607530956564,27.0089487088017,29.2486390097385,31.0168685978771,32.2638047329326,33.0606292288738,33.5511770369615,33.8895300970087,34.1951373051104,34.535972043588,34.934476390574,35.3842002172131,35.8659566867572,36.3592859027998,36.8475956274463
7,7.8277295755814,9.79855651834935,12.180976975814,14.705727189481,17.2387469859521,19.9821135874852,23.1183506351341,25.781950277666,28.1800802798079,30.4627013818376,31.7870691365614,32.6652286982055,32.5741541388986,27.4272792574552,25.9878426120039,24.617770645848,23.4094190445933,22.3985329452588,21.5843727902869,20.9475154377223,20.4613719202661
8,6.16026739188751,8.89178076375753,10.935184219827,13.1533016989766,15.6355446475428,18.377018110392,22.2282962587394,24.8521816304694,27.2434138211804,29.9196006052257,31.2641450987434,32.1706363421838,32.0966434722957,19.3646158101122,16.250666507648,13.4881638851258,11.1817236712925,9.33446766250865,7.89646731465597,6.79895550173911,5.97295860492935
9,5.37030167437295,8.05858783515403,9.91490520944705,12.0407750702538,14.467225176005,17.1972546015594,21.0622177302058,22.6048225524128,24.7583188980226,28.4086902996899,29.7285492996822,30.6825452897056,31.3688835031845,18.4880356384272,15.4798999882019,12.8276913439371,10.6267074179079,8.87554672237654,7.52257340221479,6.49866744992344,5.735250581739
10,5.1060502204015,7.696416204844,9.45715562717169,11.4942623661493,13.8372369846476,16.4916377503836,19.3936203765292,21.6310609192013,23.4518981188074,26.3758653607647,27.7231640609333,28.7710321985635,29.5766402945949,17.8127432512995,14.9170580036415,12.3603719787652,10.2394607628474,8.55557802171997,7.25956595983534,6.28407977540419,5.56180825348178
11,4.02745314585738,6.40928604249143,7.92221345382156,9.72436455271577,11.8643111671399,14.3650579718261,17.1871976669619,20.2264039985573,22.8899388569564,25.5290098345166,26.950237222223,28.0800178966538,28.9647116044664,17.4309774863249,14.5618702188936,12.0385013291842,9.95437721871811,8.30762537129886,7.04726758173091,6.10490032527518,5.41266502570268
12,3.6796923611363,5.97824361212145,7.42572006880518,9.17139396059597,10.5271792647644,12.8015005969942,15.4084192548248,18.0329003889415,22.1445660312919,23.9545543297345,25.4218021669303,26.5699712130509,27.4280266582609,17.2704717128374,14.2688302464333,11.7810901044439,9.73146770047943,8.11664671258784,6.88526768183284,5.96888754846301,5.29975920461551
13,3.15748377445224,4.39449729405356,6.54492850557218,8.06750428350378,9.93711705164992,12.1770192495362,14.7524993288067,16.0850921934456,20.2990890560289,22.2575876449168,23.924352913495,25.3450840054248,26.2629824519503,16.9584047279151,14.1571671863107,11.7137371149041,9.69152580356271,8.09310553563061,6.85666365881392,5.94088116157553,5.2698546909671
14,2.70828630571087,3.74201804238831,5.0902809712851,7.7781710854049,9.59598096027979,10.7592411613083,12.9833287178871,13.0388177887585,18.4614852278522,20.3345320130977,21.9492160770523,22.9231723745335,23.8114817780231,16.1504701736991,13.9016035242029,11.5143932389822,9.53448946948641,7.96726615738906,6.84248825623234,5.93230581071897,2.2908597197252
15,2.57589905138227,3.55752151052153,4.85146856438054,6.48226171364921,8.52000816267608,8.69715713226244,10.4105709840747,12.4309462795951,17.5107821706001,19.5415260529314,19.5156309140268,22.2354849649812,23.0869004639544,15.747492191834,13.2731610280276,11.066442001336,9.21595218628352,7.73816217418532,6.74036032727642,5.84508891871042,2.27453969692441
16,2.19357208978215,3.08750204261069,4.29548736565108,5.17321175287526,6.97706865110805,8.32741980903826,9.32176719896408,11.0463872335434,15.9754076378398,18.2159834206479,18.4575694430881,21.5124954172515,22.2477987204683,15.3556435434687,13.1959285298328,11.012066718044,9.17810651664228,7.70824892559782,6.57251459190925,5.71658207766273,2.26438708775986
17,1.94455634078438,2.69518325685083,3.33921071500544,4.20404927034833,5.29855555948667,7.42790023370093,8.79979412996076,10.4495723370006,12.343157291112,14.3368531461962,16.3573741671089,20.8650675671205,21.6778655986858,15.1975684513014,13.1105880383067,10.9532442770293,9.11368872207047,6.25626075233538,5.02373525516246,4.10115552191348,2.21103475307197
18,1.59229742633095,2.1202675713814,2.69985559088906,3.46513002296045,4.57343184710952,5.65549129530276,7.77392730241829,9.12376882308166,10.744925523419,12.5403044791723,14.4748991602029,19.7753196103837,20.5366086492616,14.9873881748433,12.8267171961582,10.9044243127842,7.83248856686841,6.23830800122516,5.01078213350174,4.01751020849162,2.18726285010025
19,1.44490560343469,1.847727098111,2.37403052891039,2.95587406471443,3.69828039709504,4.63946757393269,6.71310864917622,7.61382663746397,8.73542214738368,9.99774485650476,11.3432183503394,19.1794954473366,20.0600829518474,14.8481492147534,12.759494793332,10.6998252006276,7.73067156535246,6.21609373871619,4.99322558342033,4.00889930354587,2.10196017797435
