Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,0.51230311,0.4910466,0.47110693,0.45442467,0.44171293,0.43251581,0.42593125,0.42118559,0.41778945,0.41545651,0.41399002,0.41369375,0.4272595,0.44088029,0.45446989,0.46795544,0.48127047,0.49435261,0.50713338,0.51954743,0.53152728
2,0.38355138,0.38211545,0.38191565,0.38342231,0.38669415,0.391487,0.39740423,0.40402542,0.41097758,0.41794879,0.42696668,0.41321997,0.41298565,0.413141,0.4135678,0.41824806,0.42566851,0.43197927,0.43695556,0.44046568,0.44249078
3,0.35999558,0.36367791,0.37273244,0.38577555,0.40178196,0.42020803,0.44063593,0.46244079,0.48464838,0.50592264,0.50521494,0.47141634,0.47843393,0.48302898,0.4845038,0.5819043,0.57250215,0.56008694,0.57430016,0.58669321,0.59750875
4,0.3461266,0.32805963,0.34643407,0.36591582,0.38710871,0.41015561,0.43487049,0.46075573,0.48701806,0.51266439,0.54458552,0.55824479,0.57689619,0.59256651,0.60549249,0.61607533,0.62475921,0.57122436,0.55611271,0.537402,0.51791585
5,0.33379034,0.31492593,0.28921275,0.29446082,0.30996392,0.32785082,0.34841478,0.3716232,0.39685214,0.42287246,0.44814878,0.47133932,0.49165774,0.50886869,0.52305381,0.53440978,0.54317163,0.29804035,0.33020554,0.35623987,0.37739639
6,0.30807015,0.31191753,0.29240757,0.27072275,0.29293786,0.31845427,0.34699049,0.37750855,0.40796603,0.43555458,0.45744319,0.47149505,0.47639526,0.47140816,0.45635866,0.43192165,0.39982358,0.36263726,0.3232326,0.28417772,0.24737288
7,0.26165713,0.27004501,0.28089254,0.26372359,0.23922423,0.21376718,0.18712848,0.16574108,0.14314313,0.1227493,0.10498443,0.08815285,0.07438028,0.06873941,0.07578023,0.08051731,0.08328942,0.08453463,0.08467898,0.08408418,0.08303368
8,0.25397674,0.2390374,0.24957524,0.27173831,0.25145661,0.23042162,0.19421835,0.17853799,0.16080881,0.13010838,0.11595359,0.10217124,0.08908566,0.06305575,0.06918982,0.07316023,0.07541405,0.0764355,0.07664283,0.07635588,0.07580169
9,0.25145257,0.23437019,0.22807573,0.21665482,0.20381763,0.18918916,0.18041609,0.16453337,0.15405171,0.13173294,0.11825591,0.10287672,0.11108901,0.05746032,0.05206923,0.04685993,0.04196883,0.03743697,0.03325954,0.02941942,0.02589592
10,0.23476249,0.22932522,0.2210123,0.21180284,0.20244177,0.1922769,0.18979309,0.15176754,0.13791068,0.12481276,0.10915905,0.09323984,0.07854814,0.0489955,0.04353394,0.03877901,0.03463347,0.03097901,0.02770853,0.02474563,0.02203771
11,0.23193067,0.22150646,0.21543378,0.20895806,0.20127095,0.19177511,0.17974768,0.1623903,0.14517743,0.1374287,0.11847715,0.10159757,0.08735855,0.04523823,0.04137029,0.03756392,0.03391975,0.03052147,0.02738818,0.02451259,0.02187559
