Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,1.2601453,1.22927035,1.20983003,1.19975513,1.19831477,1.20448204,1.2170001,1.23462113,1.25623196,1.28089418,1.30784061,1.33645067,1.36622016,1.39673441,1.4276455,1.45865586,1.48950607,1.51996939,1.54983334,1.57891186,1.60703455
2,1.13787756,1.11517739,1.10455572,1.10274086,1.10850152,1.12077949,1.13843453,1.16027021,1.18512118,1.21193848,1.23983748,1.26887903,1.29691564,1.32601952,1.35587333,1.38617703,1.4166256,1.44689771,1.47664729,1.50552483,1.5331947
3,1.07382008,1.05314265,1.04552414,1.04747209,1.05755516,1.07461061,1.09747853,1.12490286,1.15550226,1.18779965,1.17964886,1.19867352,1.22237604,1.24442944,1.26423101,1.35395818,1.37624445,1.39625415,1.41398678,1.42960558,1.44334458
4,1.00423142,0.97921699,0.96576587,0.96072383,0.96304615,0.97183669,0.9862449,1.00554523,1.0291596,1.0565974,1.03623161,1.12055504,1.15532091,1.19047322,1.22491455,1.25773814,1.28830069,0.95186117,0.92419611,0.9135959,0.91391084
5,0.94182984,0.92107086,0.89734139,0.88017049,0.867944,0.85927297,0.85293856,0.8482212,0.8452531,0.84510751,0.84936155,0.85922468,0.8747863,0.89488456,0.91758588,0.9408737,0.96315534,0.64416223,0.61914534,0.61321295,0.61761426
6,0.87460723,0.86669494,0.85243094,0.82665616,0.80732998,0.79027363,0.77383036,0.75690192,0.73948165,0.7228079,0.70870716,0.6982366,0.69060036,0.68328208,0.67328759,0.65857862,0.63884966,0.61538766,0.59031013,0.56571742,0.54315273
7,0.82011705,0.80276511,0.79536291,0.77357967,0.74066458,0.70546397,0.66508002,0.6175851,0.56322654,0.50488196,0.44709394,0.39425164,0.34916856,0.31267928,0.28408946,0.26196669,0.244787,0.23126211,0.22041218,0.21154328,0.20417917
8,0.77621414,0.75439526,0.74201654,0.73410445,0.71089356,0.68532151,0.63820683,0.5973367,0.54939089,0.50196962,0.44720398,0.39666969,0.35601469,0.26805798,0.23768034,0.21565538,0.19993882,0.18879153,0.1809019,0.17534392,0.17147354
9,0.73985965,0.71315836,0.69358891,0.67722224,0.66185621,0.64426993,0.60229014,0.56409499,0.51907193,0.49180654,0.43836205,0.38854802,0.36123037,0.22389245,0.1941097,0.1718851,0.15428492,0.13949185,0.12651654,0.11486338,0.1042886
10,0.69241713,0.66958329,0.65219796,0.63896332,0.62743267,0.61437612,0.58709047,0.5460705,0.50275546,0.48964352,0.43861613,0.39042397,0.34787492,0.2249743,0.19538469,0.17306955,0.15544276,0.14077522,0.12804515,0.11669298,0.10641686
11,0.65138517,0.62860195,0.61254647,0.60122502,0.59168564,0.58069566,0.56486335,0.53837761,0.50152026,0.4895192,0.43960631,0.39183183,0.34901132,0.17111843,0.14138586,0.12044568,0.10539021,0.09409761,0.08521866,0.07795853,0.0718578
12,0.5993695,0.58072342,0.56500184,0.55493335,0.54782342,0.54055893,0.52999507,0.52232691,0.49233877,0.4758475,0.43168207,0.38915699,0.35101818,0.1584105,0.13236817,0.11471727,0.10233164,0.09300511,0.08545438,0.07900668,0.07332371
13,0.56116582,0.54337091,0.53164544,0.52596113,0.50274603,0.49577596,0.48622107,0.49235497,0.47922117,0.43879525,0.39600039,0.35379057,0.31510685,0.16149598,0.09107692,0.07268963,0.06143238,0.05455191,0.05022829,0.04740486,0.04551066
14,0.51345063,0.51040392,0.4857535,0.47916926,0.47673988,0.47478144,0.46972001,0.44912644,0.45997627,0.4253423,0.38863684,0.3484567,0.31583297,0.15434182,0.09844168,0.07985841,0.06751289,0.05923326,0.03205921,0.02856377,0.02430629
15,0.47080353,0.46459705,0.46505153,0.45416147,0.45427202,0.45320721,0.44788929,0.43835242,0.42526363,0.39098179,0.3544967,0.30494083,0.28045292,0.15657786,0.08382422,0.06801643,0.05857325,0.05288611,0.03669557,0.03201799,0.02202302
16,0.43886353,0.43360396,0.43630657,0.44319848,0.43302878,0.43652219,0.4336345,0.42732456,0.42056067,0.39239624,0.37080822,0.29883054,0.27682289,0.10258044,0.07918412,0.06494743,0.05669756,0.05185134,0.03046502,0.02758615,0.01357419
17,0.41201439,0.41192855,0.41786898,0.42081819,0.41614615,0.41659949,0.42427869,0.41985069,0.39664193,0.37454059,0.37868621,0.26112824,0.2313055,0.10840176,0.07659411,0.0614658,0.05299117,0.03640014,0.02924586,0.02685007,0.01201027
18,0.38978101,0.38997109,0.38737962,0.38812808,0.39318607,0.39861099,0.39894255,0.39676522,0.38940063,0.3744543,0.35250093,0.27725883,0.25000056,0.1091519,0.07805384,0.06247831,0.0438843,0.02590582,0.02254796,0.01779086,0.01243905
19,0.36940599,0.36329724,0.36100043,0.36624739,0.37087447,0.37568317,0.38118138,0.38160361,0.38028693,0.37458201,0.36474821,0.25687419,0.23021742,0.11262438,0.08401534,0.06851392,0.03202693,0.02587612,0.02141937,0.01665636,0.00754516
20,0.31967789,0.34099905,0.34159391,0.34378633,0.35033088,0.35839575,0.32950534,0.31750641,0.30647952,0.29406491,0.28041528,0.2635979,0.2396174,0.12065897,0.08994326,0.06443924,0.03570037,0.02308316,0.01815447,0.01615448,0.00701699
21,0.29258864,0.3218401,0.31880808,0.32232245,0.33079847,0.33972293,0.31032057,0.29706907,0.28890101,0.280785,0.27280465,0.24029222,0.21875975,0.1107284,0.08408784,0.06698588,0.03760654,0.0270661,0.01743797,0.0144777,0.00700843
22,0.26678571,0.27010365,0.27383432,0.28080451,0.30725537,0.31464397,0.29322887,0.23071098,0.21697608,0.20474615,0.19451629,0.24494489,0.22419166,0.11532073,0.08901446,0.05857913,0.03643387,0.02467754,0.01736808,0.01435454,0.00573252
23,0.24015566,0.24896553,0.25728841,0.25859739,0.26540614,0.27199247,0.26741917,0.20875204,0.19893105,0.19036455,0.18333658,0.23883734,0.22966131,0.09563609,0.07211558,0.06376284,0.03980679,0.02580172,0.01511798,0.01202191,0.00580981
24,0.21931462,0.22713789,0.24540413,0.24599497,0.21822435,0.20681229,0.19677136,0.18884451,0.1831036,0.17875401,0.17585093,0.17524731,0.17670228,0.1090702,0.08370747,0.05791395,0.04198669,0.02061689,0.01701738,0.0133454,0.00654167
25,0.19478739,0.20647892,0.22272236,0.22793831,0.19705511,0.18506018,0.17601197,0.16886767,0.16089326,0.1541526,0.14944935,0.17558415,0.17653015,0.09653044,0.0722883,0.06215778,0.04067387,0.02227999,0.01466964,0.01178033,0.00571732
26,0.17660441,0.18575682,0.19851845,0.21479742,0.18578333,0.16171735,0.14848272,0.14984302,0.14620963,0.1446943,0.14729138,0.15282983,0.15750994,0.10530965,0.08001907,0.054516,0.03717075,0.02552042,0.01583895,0.01328941,0.0064125
27,0.16088189,0.16329111,0.17815974,0.17336935,0.1594954,0.1414552,0.12643487,0.11675652,0.11281219,0.11370271,0.11839926,0.12479401,0.13110725,0.09740088,0.07315221,0.05648965,0.04366118,0.02079252,0.01833051,0.01135852,0.00480359
28,0.14933893,0.15422502,0.16399964,0.15354967,0.13899992,0.12450781,0.11357338,0.10756861,0.10715623,0.11106013,0.11848504,0.12856619,0.13829857,0.12239417,0.08070351,0.06151665,0.04173982,0.02352394,0.01487181,0.01271582,0.00495825
29,0.1218084,0.14454549,0.13733544,0.12756635,0.11676299,0.10658184,0.09925172,0.09661106,0.09970089,0.0931439,0.09990241,0.10842734,0.1180501,0.14797073,0.0746213,0.05774641,0.04350204,0.02056589,0.01761247,0.01214626,0.00452905
30,0.08882915,0.12956417,0.12953487,0.12048413,0.10997921,0.10024428,0.09407754,0.09380895,0.09286408,0.08943609,0.09891945,0.11065945,0.12021973,0.13028897,0.11127551,0.08604457,0.03674774,0.02016635,0.01495123,0.01529537,0.00484481
31,0.08227388,0.10618798,0.11395691,0.10551668,0.09368228,0.0809873,0.07062715,0.06620728,0.0697949,0.07990934,0.09311891,0.12598531,0.14430923,0.14302505,0.12416424,0.09636608,0.04265542,0.02531248,0.01881345,0.01696621,0.00540013
32,0.05167536,0.09111137,0.09587227,0.09548208,0.09080108,0.08377271,0.07050741,0.06150368,0.06841146,0.08030752,0.0946705,0.09706092,0.10467691,0.13618333,0.13716287,0.09326535,0.03395079,0.03259087,0.0240208,0.01584835,0.00476098
33,0.02944586,0.05907099,0.06398001,0.06648311,0.06631249,0.06547526,0.06556076,0.05697441,0.06197648,0.0763942,0.10201163,0.0958189,0.11923405,0.13360914,0.12504528,0.11169051,0.04303384,0.0372393,0.02941076,0.02235554,0.00526645
34,0.00835103,0.03868469,0.04580567,0.04821516,0.0476216,0.04804359,0.0508632,0.04633631,0.05462023,0.06981329,0.08068607,0.08988755,0.13071118,0.12087898,0.10352402,0.09655225,0.03601638,0.04909406,0.03946821,0.02914276,0.00508326
35,0.00589391,0.0104708,0.01302464,0.01645491,0.02076968,0.02673982,0.03474896,0.03848947,0.0468239,0.06661576,0.06323382,0.07292382,0.1360645,0.0928118,0.10734756,0.10596091,0.04633611,0.04330085,0.03459077,0.02534755,0.00559781
