Number of Parameters,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,1.20448204,1.2170001,1.23462112,1.25623193,1.28089418,1.30784061,1.33645066,1.36622031,1.39673466,1.42764598,1.45865692,1.48950818,1.51996955,1.5498337,1.57891289,1.60703628
2,1.12077971,1.13843451,1.16027011,1.18512096,1.21193846,1.23983746,1.26887902,1.29691571,1.32601963,1.35587356,1.38617756,1.41662672,1.4468978,1.4766475,1.50552546,1.53319577
3,1.0746109,1.09747851,1.12490276,1.15550198,1.18779963,1.17964885,1.19867349,1.22237637,1.24442991,1.2642318,1.35395871,1.37624542,1.39625418,1.4139869,1.4296058,1.44334535
4,0.97183696,0.98624488,1.00554514,1.02915936,1.0565974,1.03623159,1.12055502,1.15532127,1.19047368,1.22491525,1.25773949,1.28830285,0.95186125,0.92419615,0.91359612,0.91391102
5,0.85927324,0.85293854,0.84822112,0.84525288,0.84510751,0.84936157,0.85922466,0.87478657,0.89488487,0.9175863,0.94087441,0.9631562,0.64416248,0.61914524,0.61321261,0.6176143
6,0.79027391,0.77383035,0.75690183,0.73948142,0.7228079,0.70870716,0.69823653,0.69060059,0.68328231,0.67328787,0.658579,0.63884993,0.61538765,0.59031077,0.56571693,0.54315197
7,0.70546431,0.66507999,0.61758498,0.56322623,0.50488164,0.44709393,0.39425159,0.34916903,0.31267979,0.28409032,0.26196737,0.24478854,0.23126136,0.22041198,0.21154305,0.20417824
8,0.6853219,0.63820682,0.59733659,0.54939059,0.50196962,0.44720397,0.39666959,0.35601515,0.26805854,0.23768077,0.21565666,0.19994049,0.18879083,0.18090167,0.17534346,0.17147234
9,0.64427034,0.60229011,0.56409487,0.51907163,0.49180653,0.43836204,0.38854799,0.36123078,0.22389303,0.19411053,0.1718864,0.15428659,0.13949187,0.12651628,0.11486248,0.10428667
10,0.6143765,0.58709044,0.54607039,0.5027552,0.48964351,0.43861617,0.39042394,0.34787543,0.22497528,0.1953858,0.17307072,0.15544434,0.1407752,0.12804485,0.11669152,0.10641464
11,0.58069602,0.56486334,0.5383775,0.50152,0.48951912,0.4396063,0.39183182,0.34901172,0.17111864,0.14138621,0.12044582,0.10538969,0.0940975,0.0852179,0.0779564,0.0718539
12,0.54055932,0.52999503,0.5223268,0.49233842,0.47584744,0.43168198,0.38915696,0.3510186,0.15841077,0.13236871,0.11471802,0.10233228,0.09300527,0.0854542,0.07900551,0.07332157
13,0.49577623,0.48622095,0.49235481,0.47922084,0.43879541,0.39600039,0.35379053,0.3151071,0.16149579,0.09107618,0.07268779,0.06142788,0.05455193,0.05022674,0.04740044,0.04550306
14,0.4747817,0.46972005,0.44912624,0.45997602,0.42534229,0.3886371,0.34845669,0.31583322,0.15434117,0.0984406,0.07985656,0.06750877,0.05923318,0.03205955,0.0285634,0.02430616
15,0.45320742,0.4478892,0.43835217,0.42526347,0.39098183,0.35449666,0.30494062,0.28045302,0.15657846,0.08382339,0.06801438,0.0585685,0.05288567,0.03669568,0.03201784,0.02202163
16,0.43652244,0.43363445,0.42732441,0.42056032,0.39239634,0.3708082,0.29883059,0.27682311,0.10258034,0.07918334,0.0649452,0.05669275,0.05185122,0.03046562,0.02758627,0.01357463
17,0.41659996,0.42427869,0.41985053,0.39664169,0.37454036,0.37868623,0.26112837,0.23130553,0.10840189,0.07659344,0.06146408,0.05298671,0.03640015,0.0292468,0.02684991,0.01201015
18,0.39861132,0.39894257,0.39676507,0.38940027,0.3744543,0.35250102,0.27725869,0.25000046,0.10915154,0.07805308,0.06247623,0.04388495,0.02590582,0.02254787,0.01779069,0.01243909
19,0.37568374,0.38118145,0.38160354,0.38028668,0.37458243,0.36474816,0.2568741,0.23021747,0.11262402,0.08401455,0.06851238,0.03202793,0.02587594,0.02141925,0.01665619,0.00754482
20,0.35839635,0.32950541,0.31750634,0.30647932,0.29406491,0.28041529,0.26359781,0.23961744,0.12065888,0.08994279,0.06443737,0.03570038,0.02308305,0.01815446,0.01615389,0.00701634
21,0.3397234,0.31032044,0.29706902,0.2889008,0.28078458,0.27280471,0.24029221,0.21875975,0.11072819,0.0840873,0.06698465,0.0376074,0.02706597,0.01743765,0.01447736,0.00700757
22,0.31464444,0.29322899,0.23071084,0.21697582,0.20474618,0.19451614,0.24494499,0.2241919,0.11532075,0.08901411,0.05857754,0.03643466,0.02467754,0.01736857,0.01435441,0.00573242
23,0.27199296,0.26741918,0.20875192,0.198931,0.1903646,0.18333651,0.23883731,0.22966103,0.09563584,0.07211464,0.06376099,0.039807,0.02580181,0.01511794,0.01202146,0.00580679
24,0.20681274,0.19677149,0.18884411,0.18310349,0.17875415,0.1758508,0.17524732,0.17670198,0.10907012,0.08370711,0.05791191,0.04198744,0.02061724,0.01701725,0.01334522,0.00654226
25,0.18506067,0.17601179,0.16886754,0.16089301,0.15415261,0.14944941,0.17558432,0.17652996,0.09653041,0.07228745,0.06215646,0.04067484,0.02227969,0.01466957,0.01178012,0.00571763
26,0.1617175,0.14848268,0.14984294,0.14620944,0.14469404,0.14729166,0.15282971,0.15750973,0.10530943,0.08001854,0.05451411,0.03717029,0.02552033,0.01583886,0.01328941,0.00641426
27,0.14145579,0.12643479,0.11675643,0.11281206,0.11370282,0.11839918,0.12479404,0.13110736,0.09740066,0.07315165,0.05648747,0.0436609,0.02079242,0.0183305,0.01135846,0.00480343
28,0.12450838,0.11357332,0.10756852,0.10715598,0.11106015,0.11848524,0.12856629,0.1382988,0.12239414,0.08070274,0.06151509,0.04173955,0.02352398,0.014872,0.0127158,0.00495857
29,0.10658246,0.09925183,0.09661093,0.09970076,0.093144,0.09990258,0.10842734,0.11805003,0.14797091,0.07462091,0.0577444,0.0435028,0.0205657,0.01761266,0.01214606,0.00452772
30,0.10024512,0.09407741,0.09380832,0.09286382,0.08943619,0.09891932,0.11065965,0.12021949,0.13028872,0.1112752,0.08604394,0.03674773,0.02016622,0.01495123,0.01529527,0.00484495
31,0.08098821,0.07062705,0.06620693,0.06979482,0.07990924,0.09311886,0.12598545,0.14430988,0.1430252,0.12416501,0.09636558,0.04265645,0.02531249,0.01881334,0.01696607,0.00540058
32,0.08377412,0.07050684,0.06150328,0.06841115,0.08030757,0.09467052,0.09706087,0.10467692,0.13618315,0.13716336,0.09326476,0.03395078,0.03259102,0.02402078,0.01584826,0.00476137
33,0.06547543,0.06556094,0.05697434,0.0619762,0.07639395,0.10201209,0.09581884,0.11923384,0.13360938,0.12504573,0.11169184,0.04303389,0.03723907,0.02941213,0.02235496,0.00526571
34,0.04804334,0.05086302,0.04633626,0.05462012,0.06981287,0.08068617,0.08988709,0.13071102,0.12087928,0.1035246,0.09655244,0.03601628,0.04909402,0.03946827,0.02914258,0.00508323
35,0.0267398,0.03474871,0.03848935,0.04682435,0.0666157,0.06323386,0.07292374,0.13606412,0.09281185,0.10734774,0.10596049,0.04633648,0.04330094,0.03459135,0.02534761,0.00559837
36,0.02343891,0.03257846,0.03274813,0.04335091,0.06111531,0.06262943,0.07529003,0.08404621,0.10235544,0.08150234,0.07427139,0.04341816,0.05413152,0.04517885,0.03192381,0.0052867
37,0.02118448,0.02893797,0.02939752,0.03975237,0.06601337,0.06743165,0.07520816,0.07892443,0.07971556,0.08950849,0.08146687,0.05683515,0.05784361,0.04609133,0.03806698,0.00551434
38,0.01899529,0.02485182,0.02650482,0.03739315,0.05073806,0.06987982,0.08101234,0.06711099,0.08285007,0.0743321,0.06961036,0.04590266,0.06643729,0.05431284,0.05350705,0.00591118
39,0.01577579,0.02137896,0.02118216,0.03430906,0.05121698,0.05143535,0.06021958,0.0676685,0.06901923,0.07505591,0.07644457,0.06162294,0.05661725,0.04019673,0.03286193,0.01016131
40,0.01431511,0.01950378,0.02054549,0.03455395,0.04316123,0.0514624,0.06096394,0.06188308,0.07150844,0.07591769,0.07238788,0.05486722,0.05339236,0.04052899,0.0353189,0.01132713
41,0.01100723,0.01547442,0.02046455,0.03843225,0.04259647,0.04460801,0.05214026,0.05735683,0.0577311,0.06625415,0.06876908,0.05892598,0.05895156,0.04626719,0.03401428,0.01645095
42,0.01060404,0.0148551,0.01947684,0.02671134,0.03857554,0.04519539,0.05338463,0.05819702,0.06105387,0.06463097,0.0573553,0.05210361,0.04754672,0.03712755,0.03936611,0.03872985
43,0.00842069,0.0116441,0.019712,0.02489967,0.03636119,0.04128288,0.04917836,0.05089419,0.05333883,0.06240071,0.05254364,0.05937039,0.04866071,0.04014423,0.03192366,0.03591434
44,0.00726044,0.01100802,0.01761021,0.02494361,0.02979466,0.03745882,0.04725089,0.04103612,0.05451184,0.06537913,0.05387514,0.04829378,0.05129607,0.04650131,0.03349557,0.03562898
45,0.00655249,0.00984021,0.01563781,0.0189089,0.02336618,0.03099182,0.03930324,0.0388315,0.05008456,0.05627259,0.05553834,0.0459208,0.04831257,0.04672669,0.03630425,0.03108816
46,0.00513101,0.00857441,0.01649567,0.01835344,0.02007432,0.02797963,0.03279479,0.03189336,0.05452618,0.06413801,0.052195,0.04995927,0.04890833,0.04676545,0.04406495,0.02384355
47,0.00480371,0.00757957,0.01336896,0.01603204,0.02038312,0.02831937,0.02725094,0.02773974,0.02911914,0.03464204,0.04931786,0.04323291,0.04205763,0.04307762,0.03959062,0.02540008
48,0.00449912,0.00676496,0.01349139,0.01675862,0.01904616,0.02509306,0.02546775,0.02751691,0.03073619,0.03777545,0.04829024,0.04869941,0.04036484,0.03924808,0.02940602,0.02498808
49,0.00404839,0.00632462,0.01206824,0.0160279,0.01842578,0.02242616,0.02427535,0.02694968,0.02980111,0.03490369,0.04385721,0.04394355,0.04163122,0.03829449,0.02981102,0.02678319
50,0.00367182,0.00600334,0.01035365,0.0161574,0.01810744,0.02192396,0.02401613,0.02309401,0.02918744,0.0323857,0.04745421,0.04472801,0.0368706,0.0345162,0.0291042,0.02822797
51,0.00346631,0.00519823,0.00901114,0.01555328,0.01658122,0.02106379,0.02349511,0.01979062,0.02687023,0.03327892,0.04408772,0.04182513,0.03200887,0.03072584,0.02707538,0.02768714
52,0.00316484,0.005023,0.00869955,0.01528993,0.01616289,0.02011984,0.02184002,0.01868639,0.02473008,0.03068273,0.04565405,0.04189106,0.02788815,0.03157308,0.02397528,0.03050443
53,0.00320868,0.0042406,0.00853031,0.01235881,0.01520662,0.019316,0.01743563,0.01675438,0.02252472,0.03010495,0.04287638,0.04003298,0.02795616,0.02848775,0.02241442,0.02902555
54,0.00280157,0.0044196,0.00821642,0.01095469,0.01490982,0.01698453,0.01616085,0.01678637,0.02210273,0.03015197,0.03444405,0.03981488,0.02933071,0.02514731,0.02187971,0.02634005
55,0.00262022,0.00399466,0.00793457,0.01061058,0.0138274,0.01638792,0.01553717,0.0167296,0.01985988,0.02902457,0.02953125,0.03836029,0.03006997,0.02313,0.01787202,0.02307322
56,0.00240849,0.00361281,0.0075067,0.00963908,0.01248354,0.01446286,0.01530621,0.01977718,0.01955209,0.02469607,0.02611282,0.03179033,0.02516941,0.02329984,0.01999006,0.02328592
57,0.00221107,0.00318978,0.00660773,0.00868172,0.01216967,0.01458875,0.01564949,0.01570783,0.01917262,0.02420158,0.02589397,0.02957625,0.02303943,0.02365226,0.01839489,0.0214388
58,0.00218794,0.00284008,0.00600264,0.00817092,0.01250335,0.01172718,0.01575767,0.01603423,0.01838358,0.02091859,0.02315579,0.02348094,0.024159,0.01951439,0.01669178,0.02305383
59,0.00195326,0.00279641,0.00560137,0.00785847,0.01113987,0.01111709,0.0155215,0.01532111,0.01566436,0.02110909,0.02287439,0.02307397,0.02204766,0.02092652,0.01702589,0.01507918
60,0.00180341,0.00249937,0.00524343,0.00783927,0.00862063,0.01019277,0.01326526,0.01436601,0.01637001,0.02084698,0.02076354,0.02298339,0.01958864,0.01735543,0.0116163,0.01407323
61,0.00176004,0.00247479,0.00490038,0.00716676,0.00773802,0.00909129,0.01300542,0.0134635,0.01574248,0.02068243,0.02036014,0.02185642,0.01928913,0.01612016,0.01126584,0.01325237
62,0.00165461,0.00242436,0.00466148,0.00542182,0.00776028,0.00746066,0.01300843,0.01295764,0.01579623,0.02054687,0.01663916,0.01789758,0.01932006,0.01577715,0.01084193,0.01281854
63,0.00127116,0.00227645,0.00484372,0.00519325,0.00697069,0.00752102,0.01305046,0.01292619,0.01175958,0.01694081,0.01510773,0.01738813,0.01737363,0.01593709,0.01313917,0.0133582
64,0.00103491,0.00218085,0.00382628,0.00501475,0.00694431,0.00680263,0.01206579,0.01210306,0.01187819,0.01668362,0.01325869,0.0163702,0.01600682,0.0148548,0.01378599,0.01416895
65,0.00096693,0.00178666,0.00366376,0.00439357,0.00563054,0.00667625,0.01045315,0.01387456,0.01134692,0.0164825,0.01265782,0.01543237,0.01371982,0.01426349,0.01140334,0.0127423
66,,0.00144442,0.00326136,0.00418143,0.00503173,0.0058997,0.00977647,0.01082684,0.0116818,0.01674164,0.01300391,0.01430226,0.01508417,0.01715003,0.01262602,0.0094882
67,,0.00136838,0.00274769,0.00390854,0.00445005,0.00639119,0.00985279,0.01145514,0.01042014,0.01100747,0.01338599,0.01253201,0.01345958,0.01238257,0.01105174,0.00875344
68,,0.0013009,0.0026501,0.00284181,0.00391056,0.00575045,0.00745834,0.01200947,0.00936259,0.01005253,0.01380571,0.01356162,0.01183778,0.01220022,0.0103619,0.00858924
69,,0.00115563,0.00190647,0.00249859,0.00406948,0.00525331,0.00720079,0.00840721,0.00977525,0.01015262,0.01383375,0.0108261,0.01207865,0.01395919,0.01041162,0.00766241
70,,0.00078551,0.00181858,0.00229966,0.00363591,0.00497633,0.0067691,0.00786691,0.00936437,0.00861295,0.01112713,0.00936107,0.01254918,0.01355545,0.00854562,0.00709853
71,,,0.00146879,0.0020823,0.0029798,0.00493299,0.0060686,0.00788575,0.00844199,0.00884978,0.01140894,0.00975336,0.01256718,0.01098585,0.0086519,0.00594141
72,,,0.00116788,0.00171286,0.00295834,0.00478395,0.00520954,0.00771495,0.00678405,0.00753374,0.01087802,0.00907889,0.01185015,0.00964672,0.00915888,0.0057529
73,,,0.00110938,0.00170503,0.00287515,0.00415108,0.0044126,0.00745515,0.00666866,0.00729489,0.00943593,0.00986306,0.01034347,0.00809127,0.00856061,0.00567118
74,,,0.00096356,0.00134885,0.00231251,0.00426779,0.00426051,0.00641138,0.00646957,0.00656178,0.00898275,0.00939036,0.00902859,0.00788976,0.0081304,0.00600378
75,,,,0.00132164,0.00240908,0.00414972,0.00366741,0.00579392,0.00624373,0.00552307,0.00861616,0.00915771,0.00897729,0.00765308,0.00697784,0.00562516
76,,,,0.00120226,0.00200505,0.0045275,0.00309063,0.00542299,0.00537092,0.00498782,0.00938372,0.00841199,0.01000225,0.00807786,0.00722101,0.00499879
