Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2
1,3.0713514155,3.2963973411,3.9513644126,5.2500714185,7.5838478712,11.5615986407,17.9751949189,27.5337611564,40.3850624009,55.6483457821,50.7044886607,41.6657316764,31.4660522432,22.8370994985,16.4712960066,12.0584302197,3.0244451315,7.0718707384
2,1.4454352796,1.3544790668,1.4291705498,1.7271895104,2.4288537947,3.8694442027,6.5639236775,11.1347262414,18.1759635205,28.085660936,12.5526597344,8.7617885582,6.1578595488,4.5816943535,11.8297592912,8.2720710099,0.3762292719,4.1595679379
3,0.9619413729,1.3006416619,1.3738692651,1.0249735865,1.1941792352,1.596965738,2.2913634421,3.1718811317,3.9448552897,4.3568635954,4.381109574,4.1505693114,3.7031713424,2.3884328692,1.3529314828,0.9554871709,0.3652113026,0.5521320066
4,0.5017067463,0.9008513291,0.9471915088,0.9714356977,1.1415631015,1.5465888179,2.2448715657,3.1310897858,1.8996974067,2.1748919385,2.1866804844,1.9928287116,1.6964943536,1.3852597312,0.9260519017,0.7502615854,0.3542760039,0.5411274214
5,0.4512471818,0.5198206118,0.6648752806,0.758111605,0.9891679519,0.7113037145,0.9698209401,1.4112482392,0.2865768654,0.2616751226,0.2444005008,0.2322963098,0.2237497522,1.3742512286,0.9150447701,0.7392557026,0.3434082386,0.530191009
6,0.3070970637,0.3109990627,0.3932652823,0.5527311751,0.8423337363,0.5686655478,0.3423083924,0.3010736567,0.2755500652,0.2506524118,0.2333819931,0.2212816136,0.2127381974,1.3633109143,0.9041058232,0.7283179987,0.3151159732,0.5195577071
7,0.297734002,0.3010974255,0.3831017739,0.5424103669,0.8319176802,0.4300498212,0.3314689346,0.2901816387,0.2645914841,0.2396979321,0.2224317146,0.2103351353,0.2017948497,0.1957493656,0.8941298311,0.7180218535,0.2874740767,0.4709296467
8,0.2884443095,0.2912696557,0.373010812,0.5321604372,0.8215706703,0.1425103674,0.3206957852,0.2793565013,0.251066382,0.231886301,0.2138687445,0.2010902739,0.1920215822,0.1856048199,0.1811025863,0.1779592343,0.2602126703,0.4444993491
9,0.2620950479,0.2652107492,0.3674154534,0.5247228981,0.8142050119,0.1320063639,0.2303077162,0.2472885359,0.2452323105,0.2248819798,0.1867119427,0.175144906,0.166985635,0.1612544444,0.1572744622,0.1542249663,0.0885316102,0.4179235074
10,0.2361237305,0.2395294049,0.3416822566,0.4992290669,0.2304139379,0.1215713276,0.142292425,0.2156710743,0.2147234382,0.1961613473,0.1671055277,0.1495537862,0.1422904421,0.1372347434,0.1278445551,0.1273236446,0.063441283,0.391894402
11,0.2177627101,0.0311650457,0.3163240768,0.474107919,0.0974107211,0.1148520176,0.1363542646,0.2101950688,0.184639847,0.1678375062,0.1401819445,0.1318232308,0.1193313007,0.1138814856,0.1043777901,0.1013014675,0.0386966749,0.3657205313
12,0.0377961779,0.0293264006,0.0487417853,0.0909745606,0.0681410699,0.0844698478,0.1053396061,0.1530529044,0.1684797727,0.148431029,0.1363874712,0.113897189,0.0913531292,0.0851084603,0.0753936178,0.0748082727,0.0143570899,0.3437997621
13,0.0259042071,0.0138435904,0.0157227588,0.0256884503,0.0392894503,0.0545226823,0.0747697329,0.0973859482,0.1338490056,0.1360999536,0.1210737855,0.0869565827,0.0637623265,0.0567351852,0.0521467813,0.0491773607,0.0074423621,0.3164939977
14,0.016229091,0.0097592551,0.0112231255,0.0179375654,0.0284088134,0.0404598286,0.0582457976,0.0803680527,0.1000995914,0.12503543,0.0957349405,0.0603867965,0.0521992669,0.0343888287,0.027531621,0.0229350054,0.001136725,0.0182394347
15,0.0108954869,0.0086629764,0.0100517551,0.0128278154,0.0198795268,0.0297299416,0.0465733529,0.0706740398,0.0867201112,0.1051702537,0.07074192,0.0387046354,0.0278046914,0.0215085554,0.0179673326,0.0159801571,0.0010842306,0.0138463652
16,0.0058871319,0.0074835506,0.0095148337,0.0117512229,0.0189626356,0.0263906202,0.0405122483,0.0582407989,0.0754665156,0.085807866,0.0624698209,0.0366965062,0.0171313807,0.0119374402,0.0106382781,0.0088057361,0.0008213723,0.00693839
17,0.0056603787,0.0065063042,0.0083453396,0.0102192081,0.0168668708,0.0236448981,0.0355861668,0.0507490586,0.0653046513,0.0621138245,0.043821374,0.0259349387,0.0163455938,0.0082042734,0.0061856936,0.0036628248,0.0005654587,0.0010219722
18,0.0048948083,0.0057989868,0.0074134151,0.0097654976,0.0156037904,0.0232560471,0.0233827232,0.0341827953,0.0446498032,0.0387357192,0.0324468742,0.0216652961,0.0134966231,0.0077149179,0.0040585282,0.0023513113,0.000512916,0.0005738993
