Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
1,0.48732335,0.48983143,0.49907779,0.51158652,0.52296748,0.52886577,0.52455235,0.50506218,0.46692118,0.41130412,0.46574965,0.55800851,0.63636885,0.69797167,0.74447537,0.77918081,0.83923022,0.82530089,0.12732152,0.83453556,0.12501809
2,0.13282616,0.14060832,0.15151713,0.16792358,0.19079835,0.22055039,0.25703368,0.29858349,0.34010988,0.37132623,0.41781266,0.36853521,0.30375498,0.24418999,0.20548336,0.19114796,0.16755105,0.17358125,0.05235054,0.30404766,0.04131655
3,0.09102333,0.08522081,0.08636365,0.10414068,0.13197804,0.16945275,0.21776217,0.27635791,0.3421178,0.41023828,0.25324399,0.18804573,0.13926939,0.1379012,0.16981241,0.13918772,0.03907426,0.09549874,0.03756438,0.06504491,0.03850452
4,0.08878652,0.08303389,0.08409591,0.08479956,0.08381677,0.08148489,0.07733268,0.07098726,0.08339395,0.09867666,0.11153749,0.12154176,0.12170461,0.08734315,0.05774005,0.04046037,0.03892741,0.03905068,0.03744608,0.03905633,0.03748049
5,0.08258725,0.08104646,0.06900955,0.05909404,0.0489808,0.03950811,0.05187501,0.06695031,0.06377403,0.06156497,0.05603544,0.04928084,0.04253718,0.03906017,0.03905627,0.03905361,0.03880684,0.03892934,0.03734046,0.03893498,0.03737476
6,0.05011912,0.05998456,0.06768969,0.05798806,0.0480862,0.04578615,0.05215791,0.06046308,0.03911654,0.03909842,0.03908427,0.03907359,0.03906576,0.03893882,0.03893492,0.03893227,0.02126847,0.03813339,0.03389876,0.03854731,0.02319337
7,0.03597631,0.03699538,0.03751732,0.03784949,0.03805954,0.04513693,0.03881397,0.03889185,0.03899516,0.03897703,0.03896289,0.03895222,0.03894439,0.03638221,0.036441,0.03724673,0.02105864,0.0199674,0.3814926,0.02088633,0.43208238
8,0.03583474,0.03685683,0.03738292,0.03771906,0.03793297,0.0400558,0.03869488,0.03877208,0.03704693,0.03105917,0.03271705,0.03437998,0.03575095,0.03675294,0.02809602,0.0236274,0.02091455,0.01967763,0.02748336,0.02074168,0.02790226
9,0.02829382,0.02790889,0.03002363,0.03411637,0.03338748,0.03820816,0.0347554,0.02753385,0.02689892,0.02561185,0.02280693,0.0217663,0.02098619,0.02040004,0.01995707,0.01964684,0.02037672,0.02067109,0.0132952,0.02007734,0.02770814
10,0.02808968,0.02770544,0.02752722,0.02716391,0.03232144,0.0380823,0.03430387,0.02733996,0.02582447,0.02417115,0.0226736,0.02161896,0.02084462,0.02026273,0.02007699,0.01955364,0.01930433,0.01952751,0.00688036,0.01963594,0.02708352
11,0.02510217,0.02064497,0.02732535,0.02696408,0.03021075,0.03102502,0.02839551,0.02654111,0.02564485,0.02400512,0.02270438,0.02164593,0.01995491,0.01984182,0.01980481,0.02064745,0.01917237,0.02051387,0.00699394,0.01943448,0.01515841
12,0.01928406,0.01739465,0.02282832,0.02657344,0.02866272,0.02862449,0.02810608,0.02634194,0.02061785,0.02251888,0.018344,0.01786905,0.01843681,0.01937074,0.01992426,0.01940458,0.01898511,0.01878095,0.00635013,0.01930271,0.014362
13,0.02002554,0.01250624,0.01737542,0.02292605,0.0284564,0.02841786,0.02790312,0.02600778,0.01955592,0.01576482,0.0169499,0.01718875,0.01831152,0.01923818,0.01958971,0.02049129,0.00985578,0.01977589,0.00475609,0.01110478,0.01360541
14,0.02000386,0.01159477,0.01168879,0.01499076,0.01732836,0.01915197,0.0200665,0.01957702,0.01931209,0.01457701,0.01546784,0.01707327,0.01748218,0.01668845,0.01809092,0.01909138,0.00989235,0.016918,0.04326001,0.00987679,0.00172118
