Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2
1,0.54030988,0.54160055,0.55238134,0.56850283,0.58679034,0.60500196,0.62158051,0.63608972,0.6502128,0.66792104,0.69274861,0.72393876,0.75693309,0.78739784,0.81338019,0.83477329,0.87112169,0.86669892
2,0.23559717,0.23358313,0.24105666,0.25715304,0.2861253,0.33383246,0.40355078,0.49026055,0.57658285,0.63939267,0.93849072,1.02260852,0.99720581,0.90955784,0.80737334,0.71413753,0.4246238,0.57741253
3,0.19484333,0.18714007,0.18781202,0.19290227,0.20572264,0.23397964,0.28731103,0.37292022,0.49131078,0.63396805,0.5446948,0.46634326,0.40739137,0.37448719,0.64173307,0.54473634,0.12533759,0.39453701
4,0.16700609,0.1662303,0.16635677,0.16394805,0.16182243,0.16542981,0.17995753,0.20634309,0.23878129,0.26962353,0.29476003,0.31397816,0.29630843,0.23040296,0.17410237,0.14639548,0.11930702,0.11861555
5,0.13769284,0.13797005,0.14394074,0.13946355,0.13727092,0.14246278,0.16068411,0.19177993,0.22260223,0.21485335,0.19943331,0.18175214,0.16494719,0.15039142,0.13303825,0.12405355,0.11304311,0.11222555
6,0.10961714,0.10676894,0.12367021,0.12454966,0.12757202,0.16844344,0.18910619,0.20775251,0.12151596,0.11944539,0.11712065,0.11437456,0.11147466,0.14539043,0.12736583,0.1179537,0.10649738,0.10553735
7,0.1022327,0.09539774,0.10188838,0.10932387,0.11816002,0.15913818,0.11165533,0.11139459,0.11523468,0.11307591,0.11063256,0.10772927,0.10464955,0.14027772,0.12150548,0.11160426,0.10287143,0.09860629
8,0.09613932,0.08825219,0.09490944,0.10267679,0.1119555,0.14979226,0.10495219,0.10465962,0.10867717,0.10641359,0.10382951,0.10073881,0.09744282,0.09430345,0.11579912,0.10521609,0.0993237,0.09105853
9,0.0897574,0.08061374,0.08749996,0.09567909,0.10548262,0.09402934,0.09788378,0.09755426,0.09933793,0.10098109,0.09801033,0.09440717,0.09056529,0.08691748,0.08375262,0.08117567,0.09576889,0.08759644
10,0.08015416,0.07033225,0.08217308,0.0892409,0.09981545,0.08613409,0.08992231,0.08907212,0.09607093,0.09690818,0.09253776,0.08942753,0.08592628,0.08251173,0.07950959,0.07565049,0.0570956,0.08279067
11,0.06963253,0.05871813,0.0725305,0.08076905,0.11117586,0.07756693,0.08165083,0.0799848,0.08851646,0.09047527,0.06988197,0.08431463,0.08117393,0.07800348,0.0745272,0.07139289,0.05060236,0.07912179
12,0.06372369,0.04792108,0.06180455,0.07163863,0.0671427,0.07114272,0.07681149,0.07594399,0.08050758,0.08375824,0.06201704,0.06173449,0.07388091,0.07109135,0.06990774,0.06551503,0.04339396,0.07395938
13,0.05004206,0.04490312,0.05679202,0.07392784,0.05351848,0.05843866,0.06556678,0.07009794,0.05791436,0.05762322,0.0584779,0.05859505,0.06938555,0.06591542,0.064404,0.06075207,0.03507505,0.07021402
14,0.04566241,0.02544345,0.02430694,0.03000904,0.03569294,0.04268708,0.0524341,0.06406282,0.05309188,0.05651982,0.05627603,0.05344801,0.06473817,0.06048455,0.0568839,0.05398338,0.02801587,0.06588747
